method,pdt,repl,type,mrae
trmf,0.1,30,overall,0.2521242239638985
trmf,0.1,30,w,0.4593601505476194
trmf,0.1,30,o,8.37306902230314e-05
trmf,0.1,31,overall,0.2609781363180216
trmf,0.1,31,w,0.47088751289520525
trmf,0.1,31,o,8.601137469031571e-05
trmf,0.1,32,overall,0.2589753375545535
trmf,0.1,32,w,0.4694937043704662
trmf,0.1,32,o,9.87065807616499e-05
trmf,0.1,33,overall,0.2504384428275191
trmf,0.1,33,w,0.4543819586721876
trmf,0.1,33,o,9.414574816883842e-05
trmf,0.1,34,overall,0.2565914205824664
trmf,0.1,34,w,0.465458331895929
trmf,0.1,34,o,9.007061155987755e-05
trmf,0.1,35,overall,0.2531573759109044
trmf,0.1,35,w,0.4573714470821764
trmf,0.1,35,o,8.961524298237656e-05
trmf,0.1,36,overall,0.2574216521682113
trmf,0.1,36,w,0.46753506546185725
trmf,0.1,36,o,8.904709013533392e-05
trmf,0.1,37,overall,0.2527929386932874
trmf,0.1,37,w,0.45929452531946596
trmf,0.1,37,o,8.797326238170028e-05
trmf,0.1,38,overall,0.2601465550410832
trmf,0.1,38,w,0.4661651904742119
trmf,0.1,38,o,8.82070964952507e-05
trmf,0.1,39,overall,0.2560232076829829
trmf,0.1,39,w,0.4646801265118563
trmf,0.1,39,o,8.522669073512861e-05
trmf,0.1,4,overall,0.25678232584367433
trmf,0.1,4,w,0.4659918935898104
trmf,0.1,4,o,8.23932175518937e-05
trmf,0.1,40,overall,0.25740626714344994
trmf,0.1,40,w,0.4656394589637375
trmf,0.1,40,o,8.758889644010923e-05
trmf,0.1,41,overall,0.2551929798462022
trmf,0.1,41,w,0.461538621663991
trmf,0.1,41,o,8.642314472989062e-05
trmf,0.1,42,overall,0.2654212163483679
trmf,0.1,42,w,0.47909034607695156
trmf,0.1,42,o,0.00010095165389672448
trmf,0.1,43,overall,0.25844112420278637
trmf,0.1,43,w,0.4659357985425069
trmf,0.1,43,o,8.633431526722083e-05
trmf,0.1,44,overall,0.25925949182156277
trmf,0.1,44,w,0.4693214798011955
trmf,0.1,44,o,8.45635832959346e-05
trmf,0.1,45,overall,0.2564273618662674
trmf,0.1,45,w,0.46530456722169816
trmf,0.1,45,o,8.232681263027043e-05
trmf,0.1,46,overall,0.251939538143253
trmf,0.1,46,w,0.4565774430738603
trmf,0.1,46,o,8.412274139000149e-05
trmf,0.1,47,overall,0.26484489194656924
trmf,0.1,47,w,0.47791436367260004
trmf,0.1,47,o,8.753206886891863e-05
trmf,0.1,48,overall,0.253232557483284
trmf,0.1,48,w,0.4590988665836107
trmf,0.1,48,o,9.65585280722859e-05
trmf,0.1,49,overall,0.26190188361169153
