method,pdt,repl,type,mrae
latc,0.2,81,overall,0.004306610071029399
latc,0.2,81,w,0.00431131494400476
latc,0.2,81,o,0.00430074603507456
latc,0.2,82,overall,0.004364747679641127
latc,0.2,82,w,0.004457230262124258
latc,0.2,82,o,0.004249399472246091
latc,0.2,83,overall,0.004250647540029433
latc,0.2,83,w,0.004181110926337243
latc,0.2,83,o,0.004337557168216801
latc,0.2,84,overall,0.00425012974735789
latc,0.2,84,w,0.004161879181565689
latc,0.2,84,o,0.004360324561493669
latc,0.2,85,overall,0.0042480817625704746
latc,0.2,85,w,0.004183191335803422
latc,0.2,85,o,0.004329091266172673
latc,0.2,86,overall,0.004393995563828041
latc,0.2,86,w,0.004475793715842834
latc,0.2,86,o,0.004291969015057274
latc,0.2,87,overall,0.004244876930329668
latc,0.2,87,w,0.004174427809199124
latc,0.2,87,o,0.004332978940881061
latc,0.2,88,overall,0.004312702457364272
latc,0.2,88,w,0.004277915204612655
latc,0.2,88,o,0.0043560572445128665
latc,0.2,89,overall,0.004231514678031901
latc,0.2,89,w,0.004127258321312879
latc,0.2,89,o,0.004361636256235313
latc,0.2,9,overall,0.004282477347635454
latc,0.2,9,w,0.004275822739522249
latc,0.2,9,o,0.004290787650002091
latc,0.2,90,overall,0.004342976317177175
latc,0.2,90,w,0.004408708883247828
latc,0.2,90,o,0.004260930525146739
latc,0.2,91,overall,0.004362721610050096
latc,0.2,91,w,0.004430980958640059
latc,0.2,91,o,0.0042777116333639715
latc,0.2,92,overall,0.0043253756434960796
latc,0.2,92,w,0.00433898984096877
latc,0.2,92,o,0.004308399677949928
latc,0.2,93,overall,0.004338402025606912
latc,0.2,93,w,0.004371824443656537
latc,0.2,93,o,0.004296703180990788
latc,0.2,94,overall,0.004298954107558725
latc,0.2,94,w,0.004300751586338781
latc,0.2,94,o,0.004296706605708685
latc,0.2,95,overall,0.004299270335377499
latc,0.2,95,w,0.0042806208586447314
latc,0.2,95,o,0.004322553358207792
latc,0.2,96,overall,0.004323890481612458
latc,0.2,96,w,0.0043637669740537715
latc,0.2,96,o,0.004274190080803168
latc,0.2,97,overall,0.004324738314789138
latc,0.2,97,w,0.004378480679745058
latc,0.2,97,o,0.004257696719872197
latc,0.2,98,overall,0.004310034563194305
latc,0.2,98,w,0.00433957884008274
latc,0.2,98,o,0.0042731432373993425
latc,0.2,99,overall,0.004236149633377682
latc,0.2,99,w,0.004128995203459552
latc,0.2,99,o,0.0043697862886750306
latc,0.3,1,overall,0.004283854994616626
latc,0.3,1,w,0.004251894331825871
latc,0.3,1,o,0.004335072432200097
latc,0.3,10,overall,0.004290664058717523
latc,0.3,10,w,0.004267777656678244
latc,0.3,10,o,0.0043269768573482555
